has_kiosk,eightd_has_key_dispenser,capacity,external_id,short_name,rental_methods,name,electric_bike_surcharge_waiver,rental_uris,lat,eightd_station_services,station_type,region_id,station_id,lng
True,False,11,08263959-1f3f-11e7-bf6b-3863bb334450,32212,"['KEY', 'CREDITCARD']",New Dominion Pkwy & Fountain Dr,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.960574,[],classic,104,08263959-1f3f-11e7-bf6b-3863bb334450,-77.356324
True,False,19,6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,31523,"['KEY', 'CREDITCARD']",Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.915,[],classic,42,6d5ad96d-a704-4fa6-8b65-3ac643c5aa93,-77.0078
True,False,23,082624fc-1f3f-11e7-bf6b-3863bb334450,31642,"['KEY', 'CREDITCARD']",New Jersey Ave & K St NW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.90257109172293,[],classic,42,082624fc-1f3f-11e7-bf6b-3863bb334450,-77.01366662979126
True,False,15,08254dee-1f3f-11e7-bf6b-3863bb334450,31060,"['KEY', 'CREDITCARD']",S Arlington Mill Dr & Campbell Ave,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.84232,[],classic,41,08254dee-1f3f-11e7-bf6b-3863bb334450,-77.089555
True,False,15,10d57c0d-6f3c-45d1-8a12-eda5665e213c,32425,"['KEY', 'CREDITCARD']",Crescent Rd & Ridge Rd,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",39.006191,[],classic,133,10d57c0d-6f3c-45d1-8a12-eda5665e213c,-76.891247
True,False,11,082480f1-1f3f-11e7-bf6b-3863bb334450,31704,"['KEY', 'CREDITCARD']",Nannie Helen Burroughs & Minnesota Ave NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.901385,[],classic,42,082480f1-1f3f-11e7-bf6b-3863bb334450,-76.941877
False,False,8,0825be94-1f3f-11e7-bf6b-3863bb334450,31072,"['KEY', 'CREDITCARD']",31st St & S Woodrow St,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.8378458,[],classic,41,0825be94-1f3f-11e7-bf6b-3863bb334450,-77.0934784
True,False,23,08261e7a-1f3f-11e7-bf6b-3863bb334450,31641,"['KEY', 'CREDITCARD']",2nd St & Massachusetts Ave NE,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.894972,[],classic,42,08261e7a-1f3f-11e7-bf6b-3863bb334450,-77.003135
True,False,15,84a0159b-5f00-417a-8f06-6c7c8437049f,31676,"['KEY', 'CREDITCARD']",1st & Q St SW,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.870823939537914,[],classic,42,84a0159b-5f00-417a-8f06-6c7c8437049f,-77.01191514730453
True,False,15,42ad2bc8-22b5-40f2-8a56-e562e4ecde07,32408,"['KEY', 'CREDITCARD']",Oglethorpe St & 42nd Ave,False,"{'android': 'https://dc.lft.to/lastmile_qr_scan', 'ios': 'https://dc.lft.to/lastmile_qr_scan'}",38.959361,[],classic,133,42ad2bc8-22b5-40f2-8a56-e562e4ecde07,-76.946361
