lng,eightd_has_key_dispenser,short_name,has_kiosk,rental_uris,lat,external_id,region_id,eightd_station_services,capacity,station_type,electric_bike_surcharge_waiver,rental_methods,name,station_id
-73.89186,False,8752.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.87444,c8c39d85-4ce7-46c5-b709-998067200780,71,[],24,classic,False,"['KEY', 'CREDITCARD']",Bedford Park Blvd & Paul Ave,c8c39d85-4ce7-46c5-b709-998067200780
-73.916418,False,8407.03,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.851788,023cf549-bd85-4f9a-abd8-70ba29d7e86b,71,[],21,classic,False,"['KEY', 'CREDITCARD']",W Tremont Ave & Montgomery Ave,023cf549-bd85-4f9a-abd8-70ba29d7e86b
-73.92967,False,3373.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.65399,1898751402035634700,71,[],21,classic,False,"['KEY', 'CREDITCARD']",E 51 St & Linden Blvd,1898751402035634700
-73.94986,False,3359.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.65074,1815967442754883940,71,[],30,classic,False,"['KEY', 'CREDITCARD']",Church Ave & Nostrand Ave,1815967442754883940
-73.93515,False,5282.02,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.713811,84a7baff-415b-4ab9-a859-74c2801483ce,71,[],19,classic,False,"['KEY', 'CREDITCARD']",Devoe St & Morgan Ave,84a7baff-415b-4ab9-a859-74c2801483ce
-73.940493,False,8320.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.84522,6b60bf55-3da4-439a-bde1-fc80be8623ba,71,[],24,classic,False,"['KEY', 'CREDITCARD']",Fort Washington Ave & W 173 St,6b60bf55-3da4-439a-bde1-fc80be8623ba
-73.94510813442648,False,8123.06,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.83402740143528,1859438049977968878,71,[],31,classic,False,"['KEY', 'CREDITCARD']",Broadway & W 157 St,1859438049977968878
-73.91123,False,4096.08,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.67486,4568f854-1268-45cf-bac8-82286ef40ae6,71,[],21,classic,False,"['KEY', 'CREDITCARD']",Dean St & Rockaway Ave,4568f854-1268-45cf-bac8-82286ef40ae6
-73.89738768339157,False,6417.11,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.749372273899596,faf98f78-51ab-4248-b7e7-f402902385a6,71,[],18,classic,False,"['KEY', 'CREDITCARD']",65 St & Broadway,faf98f78-51ab-4248-b7e7-f402902385a6
-73.906127,False,7074.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.772717,f62526d4-9c6a-4c76-be76-c64b5be669d2,71,[],21,classic,False,"['KEY', 'CREDITCARD']",Steinway St & Ditmars Blvd,f62526d4-9c6a-4c76-be76-c64b5be669d2
-73.97078096866608,False,4990.02,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.70514807698391,81bec993-29a5-4e70-8f60-eecdf16c7be4,71,[],30,classic,False,"['KEY', 'CREDITCARD']",Railroad Ave & Kay Ave,81bec993-29a5-4e70-8f60-eecdf16c7be4
-73.903,False,6191.04,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.74261,a45a712c-1e3d-4fee-bef8-adafafd80670,71,[],20,classic,False,"['KEY', 'CREDITCARD']",62 St & 43 Ave,a45a712c-1e3d-4fee-bef8-adafafd80670
-73.96063148975372,False,5125.07,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.70924826276157,66dced76-0aca-11e7-82f6-3863bb44ef7c,71,[],27,classic,False,"['KEY', 'CREDITCARD']",Broadway & Roebling St,66dced76-0aca-11e7-82f6-3863bb44ef7c
-73.88625,False,8485.01,True,"{'ios': 'https://bkn.lft.to/lastmile_qr_scan', 'android': 'https://bkn.lft.to/lastmile_qr_scan'}",40.8561,1860189650739626488,71,[],21,classic,False,"['KEY', 'CREDITCARD']",E 188 St & Hughes Ave,1860189650739626488
