id,station_name,short_name,total_docks,docks_in_service,status,lat,lng,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_8hcu_yrd4
a3b39bb0-a135-11e9-9cda-0a87ae2ba916,Fairbanks St & Superior St,18003,11,11,In Service,41.895748,-87.620104,"{'type': 'Point', 'coordinates': [-87.620104, 41.895748]}",22,21182,37,158,36,6,2
a3ae737f-a135-11e9-9cda-0a87ae2ba916,Glenwood Ave & Morse Ave,KA1504000175,15,15,In Service,42.0079719229,-87.6655023944,"{'type': 'Point', 'coordinates': [-87.6655023944, 42.00797192287]}",3,21853,10,66,5,9,49
a3a86c05-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Irving Park Rd,13063,27,27,In Service,41.954245,-87.654406,"{'type': 'Point', 'coordinates': [-87.654406, 41.954245]}",37,21186,57,83,39,53,46
a3a7aa0e-a135-11e9-9cda-0a87ae2ba916,Indiana Ave & 40th St,13083,11,11,In Service,41.82168,-87.6216,"{'type': 'Point', 'coordinates': [-87.6216, 41.82168]}",12,4301,4,163,9,36,8
a3aabfe3-a135-11e9-9cda-0a87ae2ba916,Ellis Ave & 58th St,TA1309000011,19,19,In Service,41.788746,-87.601334,"{'type': 'Point', 'coordinates': [-87.601334, 41.788746]}",32,22260,8,154,33,60,3
1936552997477483122,St Louis Ave & Norman Bobbins Pl,21385,15,15,In Service,41.79439,-87.71132,"{'type': 'Point', 'coordinates': [-87.71132, 41.79439]}",49,22248,61,776,8,56,14
1882466626513795782,Keeler Ave & Carmen Ave,23110,15,15,In Service,41.974323,-87.7331,"{'type': 'Point', 'coordinates': [-87.7331, 41.974323]}",28,21869,13,748,38,48,39
1869054242749504212,Kilbourn Ave & Roscoe St,21360,15,15,In Service,41.942722,-87.739557,"{'type': 'Point', 'coordinates': [-87.739557, 41.942722]}",27,22618,16,328,21,21,30
1436495109493626544,W Washington Blvd & N Peoria St,,9,9,In Service,41.883043,-87.649931,"{'type': 'Point', 'coordinates': [-87.649931, 41.883043]}",41,14917,29,63,26,44,34
a3aa4a58-a135-11e9-9cda-0a87ae2ba916,Sheridan Rd & Buena Ave,TA1309000027,19,19,In Service,41.958494,-87.654966,"{'type': 'Point', 'coordinates': [-87.654966, 41.958494]}",37,21186,31,577,39,53,46
1942481603584237586,Sayre Ave & Diversey Ave,21352,15,15,In Service,41.93098,-87.80106,"{'type': 'Point', 'coordinates': [-87.80106, 41.93098]}",39,4454,18,397,7,52,29
1989976253005812134,Stewart Ave & 123rd St,24412,16,16,In Service,41.6706,-87.63244,"{'type': 'Point', 'coordinates': [-87.63244, 41.6706]}",45,21861,50,7,22,19,11
